Expt date,Fish,Expt type,Ephys,save_dir
20190728,fish00,HG_vs_LG_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_HG/20190728/fish00/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01_20190728_193630/ephys/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190728/fish00/huc-gcamp7ff_HGLG-slow-fwd_fish00_exp01_20190728_193630/
20190902,fish00,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20190902/fish00/7dpf_HuC-GECO_GU-slow-fwd_behaveonly_fish00_exp03//ephys/7dpf_HuC-GECO_GU-slow-fwd_behaveonly_fish00_exp03.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190902/fish00/7dpf_HuC-GECO_GU-slow-fwd_behaveonly_fish00_exp03/
20190906,fish02,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20190906/fish02/6dpf_HuC-GC7FF_GU_fwd_fish02_exp01_20190906_202556/ephys/6dpf_HuC-GC7FF_GU_fwd_fish02_exp01.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190906/fish02/6dpf_HuC-GC7FF_GU_fwd_fish02_exp01_20190906_202556/
20190907,fish00,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20190907/fish00/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01_20190907_172639/ephys/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20190907/fish00/7dpf_HuC-GC7FF_GU-fwd_fish00_exp01_20190907_172639/
20191130,fish00,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/ephys/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/
20191130,fish00,LGGU_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/ephys/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/
20191201,fish00,LG_vs_NGGU_fmg_multivel,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU_multivel/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346/ephys/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346/
20191201,fish00,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/ephys/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/
20191205,fish01,LGGU_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LGGU_vs_NGGU/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/ephys/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/
20200105,fish01,LG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/ephys/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02.10chFlt,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/
