,dat_dir,save_dir,taskType,high_res,im_volseg,Note
0,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_replayGU/20200823/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM0_removal_osc/,LG_vs_replayGU,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM0_removal_osc/registration/fixed_reference.h5,None,
1,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_replayGU/20200823/fish01/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM1_removal_osc/,LG_vs_replayGU,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200823/5dpf_HuC-GCaMP7FF-GFAP-RGECO_LG-vs-replayGU_fish01_exp07_20200823_191353/im_CM1_removal_osc/registration/fixed_reference.h5,None,
2,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20200907/fish02/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0_removal_osc/,MG_vs_replayGU,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0_removal_osc/registration/fixed_reference.h5,None,
3,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20200907/fish02/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM1_removal_osc/,MG_vs_replayGU,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM1_removal_osc/registration/fixed_reference.h5,None,
4,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/im_CM0_voluseg/,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_ref-stack_fish01_exp08_20201028_045004/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/im_CM0_voluseg,
5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/im_CM1_voluseg/,MG_vs_replayGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_ref-stack_fish01_exp08_20201028_045004/processed/im_CM1_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20201027/fish01/7dpf_HuC-GCaMP7FF-gfap-rgeco_MGvsReplayGU_fish01_exp05_20201028_002419/im_CM1_voluseg,
6,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/im_CM0_voluseg/,NG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_ref-stack_fish02_exp02_20211216_224437/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/im_CM0_voluseg,"Brain volume looks good, not sure why its glial imaging is bad"
7,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/im_CM1_voluseg/,NG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_ref-stack_fish02_exp02_20211216_224437/processed/im_CM1_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20211216/fish02/6dpf_elavl3-GC8F-gfap-jrgeco_NGtrunc12-vs-NGGU_fish02_exp03_20211216_224637/im_CM1_voluseg,Brain volume is quite bad
8,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/im_CM0_voluseg/,NG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_ref-stack_fish01_exp02_20220225_204021/processed/im_CM0_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/im_CM0_voluseg,
9,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/im_CM1_voluseg/,NG_vs_NGGU_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_ref-stack_fish01_exp02_20220225_204021/processed/im_CM1_fixed_reference_sliced.h5,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/NG_vs_NGGU/20220225/fish01/6dpf_elavl3-gcamp8f-gfap-jrgeco_NGtrunc-vs-NGGU-fmg_fish01_exp03_20220225_204416/im_CM1_voluseg,"Low quality high resolution data, registration is bad"
