,dat_dir,save_dir,taskType,high_res,im_volseg,Note
0,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-gal4_uas-cochr/elavl3-jrgeco/20220806/fish00/9dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish00_exp03_20220806_210433/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220806/fish00/9dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish00_exp03_20220806_210433/,stim-probe,None,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-gal4_uas-cochr/elavl3-jrgeco/20220806/fish00/9dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish00_exp03_20220806_210433/im_CM0_voluseg,voluseg file directory not exists
1,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-trpv1/20220616/fish01/6dpf_gfap-trpv1-elavl3-gc8f-gfap-jrgeco_pause-probe_fish01_exp07_20220616_213221/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220616/fish01/6dpf_gfap-trpv1-elavl3-gc8f-gfap-jrgeco_pause-probe_fish01_exp07_20220616_213221/im_CM0_voluseg/,pause-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-trpv1/20220616/fish01/6dpf_gfap-trpv1-elavl3-gc8f-gfap-jrgeco_ref-stack_fish01_exp02_20220616_210441/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-trpv1/20220616/fish01/6dpf_gfap-trpv1-elavl3-gc8f-gfap-jrgeco_pause-probe_fish01_exp07_20220616_213221/im_CM0_voluseg,
2,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-trpv1/20220616/fish01/6dpf_gfap-trpv1-elavl3-gc8f-gfap-jrgeco_pause-probe_fish01_exp07_20220616_213221/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220616/fish01/6dpf_gfap-trpv1-elavl3-gc8f-gfap-jrgeco_pause-probe_fish01_exp07_20220616_213221/im_CM1_voluseg/,pause-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-trpv1/20220616/fish01/6dpf_gfap-trpv1-elavl3-gc8f-gfap-jrgeco_ref-stack_fish01_exp02_20220616_210441/processed/im_CM1_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-trpv1/20220616/fish01/6dpf_gfap-trpv1-elavl3-gc8f-gfap-jrgeco_pause-probe_fish01_exp07_20220616_213221/im_CM1_voluseg,
3,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220811/fish01/6dpf_dbh-cochr_elavl3-jrgeco1a_stim-probe_fish00_exp03_20220812_003100/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220811/fish01/6dpf_dbh-cochr_elavl3-jrgeco1a_stim-probe_fish00_exp03_20220812_003100/,stim-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220811/fish01/6dpf_dbh-cochr_elavl3-jrgeco1a_ref-stack_fish00_exp02_20220812_002120/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220811/fish01/6dpf_dbh-cochr_elavl3-jrgeco1a_stim-probe_fish00_exp03_20220812_003100/im_CM0_voluseg,
4,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220811/fish00/6dpf_dbh-cochr_elavl3-jrgeco1a_stmi-probe_fish00_exp03_20220811_180603/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220811/fish00/6dpf_dbh-cochr_elavl3-jrgeco1a_stmi-probe_fish00_exp03_20220811_180603/,stim-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220811/fish00/6dpf_dbh-cochr_elavl3-jrgeco1a_ref-stack_fish00_exp02_20220811_175957/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220811/fish00/6dpf_dbh-cochr_elavl3-jrgeco1a_stmi-probe_fish00_exp03_20220811_180603/im_CM0_voluseg,
5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/elavl3-jrgeco/20221113/fish00/7dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish00_exp03_20221113_145458/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20221113/fish00/7dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish00_exp03_20221113_145458/,stim-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/elavl3-jrgeco/20221113/fish00/7dpf_gfap-cochr-elavl3-jrgeco1b_ref-stack_fish00_exp01_20221113_143431/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/elavl3-jrgeco/20221113/fish00/7dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish00_exp03_20221113_145458/im_CM0_voluseg,
6,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/elavl3-jrgeco/20221113/fish01/7dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish01_exp03_20221113_190503/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20221113/fish01/7dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish01_exp03_20221113_190503/,stim-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/elavl3-jrgeco/20221113/fish01/7dpf_gfap-cochr-elavl3-jrgeco1b_ref-stack_fish01_exp01_20221113_184424/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/elavl3-jrgeco/20221113/fish01/7dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish01_exp03_20221113_190503/im_CM0_voluseg,
7,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220827/fish01/5dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish01_exp03_20220827_192418/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220827/fish01/5dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish01_exp03_20220827_192418/,stim-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220827/fish01/5dpf_gfap-cochr-elavl3-jrgeco1b_ref-stack_fish01_exp01_20220827_190425/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220827/fish01/5dpf_gfap-cochr-elavl3-jrgeco1b_stim-probe_fish01_exp03_20220827_192418/im_CM0_voluseg,
8,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220827/fish00/7dpf_dbh-cochr-elavl3-jrgeco1b_stim-probe_fish00_exp03_20220827_151534/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220827/fish00/7dpf_dbh-cochr-elavl3-jrgeco1b_stim-probe_fish00_exp03_20220827_151534/,stim-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220827/fish00/7dpf_dbh-cochr-elavl3-jrgeco1b_ref-stack_fish00_exp01_20220827_145613/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/dbh-gal4_uas-cochr/elavl3-jrgeco/20220827/fish00/7dpf_dbh-cochr-elavl3-jrgeco1b_stim-probe_fish00_exp03_20220827_151534/im_CM0_voluseg,
9,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/gfap-jrgeco/20220915/fish02b/6dpf_gfap-cochr-gfap-jrgeco1b_stim-probe_fish02_exp03_20220916_000222/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220915/fish02b/6dpf_gfap-cochr-gfap-jrgeco1b_stim-probe_fish02_exp03_20220916_000222/,stim-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/gfap-jrgeco/20220915/fish02b/6dpf_gfap-cochr-gfap-jrgeco1b_ref-stack_fish02_exp01_20220915_234650/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/gfap-jrgeco/20220915/fish02b/6dpf_gfap-cochr-gfap-jrgeco1b_stim-probe_fish02_exp03_20220916_000222/im_CM0_voluseg,
10,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/gfap-jrgeco/20220915/fish01b/6dpf_gfap-cochr-gfap-jrgeco1b_stim-probe_fish01_exp03_20220915_200137/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220915/fish01b/6dpf_gfap-cochr-gfap-jrgeco1b_stim-probe_fish01_exp03_20220915_200137/,stim-probe,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/gfap-jrgeco/20220915/fish01b/6dpf_gfap-cochr-gfap-jrgeco1b_ref-stack_fish01_exp01_20220915_194706/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-cochr/gfap-jrgeco/20220915/fish01b/6dpf_gfap-cochr-gfap-jrgeco1b_stim-probe_fish01_exp03_20220915_200137/im_CM0_voluseg,
