,dat_dir,save_dir,singlePlane,taskType,hr_dir,cf_dir
0,/nrs/ahrens/jing/state_modulation/LGGU_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp02_20191130_151303/,FALSE,LGGU_vs_NGGU,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191130/fish00/6dpf_HuC-GC7FF_ref-stack_fish00_exp06_20191201_combined,
1,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,FALSE,LG_vs_NGGU,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191130/fish00/6dpf_HuC-GC7FF_ref-stack_fish00_exp06_20191201_combined,
2,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,FALSE,LG_vs_NGGU,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191201/fish00/7dpf_HuC-GC7FF_ref-stack_fish00_exp08_combined,
3,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU_multivel/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_multgain_fish00_exp05_20191201_233346/,FALSE,LG_vs_NGGUmultivel,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191201/fish00/7dpf_HuC-GC7FF_ref-stack_fish00_exp08_combined,
4,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191205/fish01/6dpf_HuC-GC7FF_LG_NGGU_fish01_exp02_20191205_200345/,FALSE,LG_vs_NGGU,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20191205/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp04_20191206_001850,
5,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/,FALSE,LG_vs_NGGU,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200105/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp06_20200105_214700,
6,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU_fish03_exp02_20200107_201417/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU_fish03_exp02_20200107_201417/,FALSE,LG_vs_NGGU,,
7,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU_multivel/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU-multivel_fish03_exp03_20200108_001848/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU-multivel_fish03_exp03_20200108_001848/,FALSE,LG_vs_NGGUMultivel,,
8,/nrs/ahrens/jing/state_modulation/LG_vs_NG/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200211/fish00/7dpf_HuC-Gc7FF_LG-NGnoGU_fish00_exp01_20200211_173248/,FALSE,LG_vs_NG,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200211/fish00/7dpf_HuC-Gc7FF_ref-stack_fish00_exp04_20200211_204942,
9,/nrs/ahrens/jing/state_modulation/LG_vs_NG/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_LG-NGnoGU_fish00_exp03_20200217_202122/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_LG-NGnoGU_fish00_exp03_20200217_202122/,FALSE,LG_vs_NG,/nrs/ahrens/jing/state_modulation/ref-stacks_suppl/20200217/fish00/5dpf_HuC-GC7FF-GFAP-RGECO_ref-stack_fish00_exp04_20200218_002351,
